epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5127,2.14752,3.96121,1.07541,0.0013,0.01506,0.00082,0.00033,2.12686,4.30071,1.04916,4.444e-05,4.444e-05,4.444e-05
2,84.4314,2.23889,3.50763,1.06594,0.0006,0.00602,0.00031,0.00017,2.16513,4.20084,1.06348,9.80102e-05,9.80102e-05,9.80102e-05
3,123.921,2.1851,2.62589,1.06584,0.00037,0.00301,0.00268,0.00107,2.12676,4.1713,1.06324,0.000149381,0.000149381,0.000149381
4,163.502,2.17641,1.97631,1.04945,0,0,0,0,2.08769,4.31928,1.10208,0.000198551,0.000198551,0.000198551
5,203,2.15462,1.83752,1.06406,0.00074,0.00602,0.0004,0.00026,2.09833,4.14535,1.08727,0.000245522,0.000245522,0.000245522
6,242.516,2.22022,1.77379,1.1582,0.00282,0.0241,0.00949,0.00361,2.14359,3.90688,1.08533,0.000290293,0.000290293,0.000290293
7,282.54,2.09404,1.57932,1.09795,0.01488,0.18554,0.08135,0.03017,2.0781,3.64246,1.05217,0.000332864,0.000332864,0.000332864
8,321.805,2.03657,1.61414,1.05562,0.01453,0.13554,0.07856,0.03239,2.07982,3.63611,1.04991,0.000373236,0.000373236,0.000373236
9,367.207,2.08265,1.5674,1.07886,0.01615,0.18554,0.10176,0.03544,2.15585,3.63972,1.08926,0.000411408,0.000411408,0.000411408
10,405.835,2.15074,1.57184,1.13281,0.01662,0.23253,0.08597,0.03197,2.08406,3.64333,1.07407,0.00044738,0.00044738,0.00044738
11,444.489,2.05361,1.53028,1.10469,0.03021,0.39096,0.23369,0.07828,2.15559,3.48905,1.10067,0.000481152,0.000481152,0.000481152
12,483.176,2.07064,1.53808,1.10588,0.03183,0.49699,0.26258,0.10361,2.14859,3.39082,1.07897,0.000512724,0.000512724,0.000512724
13,522.421,2.10593,1.47112,1.11164,0.03609,0.67108,0.28447,0.11363,2.10603,3.32467,1.06516,0.000542097,0.000542097,0.000542097
14,561.56,2.01489,1.43409,1.06424,0.04014,0.66325,0.4576,0.20042,2.09967,2.92144,1.08775,0.00056927,0.00056927,0.00056927
15,600.375,2.01592,1.42936,1.10913,0.04225,0.74639,0.53632,0.22853,2.19516,2.85287,1.11502,0.000594243,0.000594243,0.000594243
16,639.249,2.03433,1.37996,1.10641,0.04083,0.74639,0.50711,0.20118,2.24164,2.8261,1.15044,0.000617016,0.000617016,0.000617016
17,677.972,2.05012,1.33581,1.07385,0.04054,0.75843,0.4909,0.20685,2.1643,2.55734,1.11026,0.00063759,0.00063759,0.00063759
18,717.304,2.05091,1.30396,1.08686,0.83565,0.37108,0.53559,0.22604,2.16752,2.38873,1.11357,0.000655963,0.000655963,0.000655963
19,756.381,2.01626,1.31168,1.09369,0.97529,0.24958,0.55685,0.22991,2.24421,2.2073,1.14658,0.000672137,0.000672137,0.000672137
20,795.221,2.04309,1.2635,1.09544,0.97125,0.33927,0.58631,0.24901,2.22961,2.01583,1.1193,0.000686111,0.000686111,0.000686111
21,833.907,2.00846,1.31887,1.11422,0.94769,0.37952,0.62877,0.26226,2.20123,2.00505,1.10795,0.000671044,0.000671044,0.000671044
